company_name,location,waasu_url,company_url,founders,about,tech,job_name,job_url,job_details
Exa,San Francisco,https://www.workatastartup.com/companies/exa,exa.ai,Will Bryk,,,Sales Engineer,https://www.workatastartup.com/jobs/68857,"San Francisco, California fulltime $130K - $200K Any (new grads ok)"
Exa,San Francisco,https://www.workatastartup.com/companies/exa,exa.ai,Will Bryk,,,Backend Engineer,https://www.workatastartup.com/jobs/68854,"San Francisco, California fulltime $130K - $200K Any (new grads ok)"
Exa,San Francisco,https://www.workatastartup.com/companies/exa,exa.ai,Will Bryk,,,DevRel Engineer,https://www.workatastartup.com/jobs/68855,"San Francisco, California fulltime $130K - $200K Any (new grads ok)"
Exa,San Francisco,https://www.workatastartup.com/companies/exa,exa.ai,Will Bryk,,,Generalist Engineer,https://www.workatastartup.com/jobs/61829,"San Francisco, CA fulltime $120K - $180K Any (new grads ok)"
Exa,San Francisco,https://www.workatastartup.com/companies/exa,exa.ai,Will Bryk,,,ML Research Engineer,https://www.workatastartup.com/jobs/48397,"San Francisco, CA fulltime $120K - $250K Any (new grads ok)"
Exa,San Francisco,https://www.workatastartup.com/companies/exa,exa.ai,Will Bryk,,,Full Stack Engineer,https://www.workatastartup.com/jobs/68856,"San Francisco, California fulltime $130K - $200K Any (new grads ok)"
Overlap, 3 people,https://www.workatastartup.com/companies/overlap,joinoverlap.com,"Jonathan Baer, Buzz Rubenstein, Casey Traina",,,Founding Engineer,https://www.workatastartup.com/jobs/68753,"San Francisco, CA, US fulltime  Visa Required $130K - $180K 0.50% - 2.00% Any (new grads ok)"
HOMLI,New York,https://www.workatastartup.com/companies/homli,thehomli.com,"Tim Ioannidis, Nikos Legbelos, Antonis Mitropoulos","HOMLI is a tech startup based out of New York, USA and Athens, Greece with the vision of modernizing the European Real Estate market. We help property owners make the most out of their homes through increased transparency and improved service. We achieve this by using cutting-edge technology, data science, and machine learning. HOMLI is backed by well-known international investors such as Y combinator and Plug & Play.HOMLI was founded in New York in 2021 by 3 Greek co-founders. Everyone in our team is an engineer by training with extensive studies in Greece (NTUA, AUTH) and the US (MIT), and has a combined professional experience of ~15 years through organizations such as McKinsey, Amazon, and Morgan Stanley.",VueJS/JavascriptPython/Django/CeleryRedis/PostgresDocker/KubernetesAWS/GCP,Data Engineer,https://www.workatastartup.com/jobs/68752,"Athens, Greece / Remote (GR) fulltime €25K - €40K EUR Any (new grads ok)"
VectorShift, 8 people,https://www.workatastartup.com/companies/vectorshift,vectorshift.ai,"Alexander Leonardi, Albert Mao","VectorShift provides tooling to create custom AI workflows quickly. End-users can run and modify these pipelines using our no-code platform, and developers can ship complex production-grade AI chains directly to end-users using our API and SDK. In addition to expanding our core platform, we are working with several >$1bn revenue enterprises to pilot our solutions for specific high-impact use cases.",Our frontend is built using React/NextJS. We run our backend using Python/FastAPI and use MongoDB/Redis for data storage.,Frontend Engineer,https://www.workatastartup.com/jobs/68740,"New York, NY, US fulltime  Visa Required $130K - $175K 0.25% - 0.50% Any (new grads ok)"
Apriora,San Francisco,https://www.workatastartup.com/companies/apriora,apriora.ai,"John Rytel, Aaron Wang","ackend: Python, Next, Node Frontend: React, Typescript Infrastructure: Azure, PostgreSQL",,⚡️ Founding Full Stack Software Engineer ⚡️,https://www.workatastartup.com/jobs/68698,"San Francisco, CA, US fulltime  Visa Required $70K - $200K 0.10% - 1.00% Any (new grads ok)"
Greptile,San Francisco,https://www.workatastartup.com/companies/greptile,greptile.com,"Soohoon Choi, Daksh Gupta, Vaishant Kameswaran","Greptile is an AI expert on any codebase, available as an API. Developers and teams at over 300 companies use Greptile to build internal tools including AI PR review bots and automatic documentation updaters.","Backend: Node, TypeScript, AWS ECS/Lambda, Postgres Frontend: NextJS",Software Engineer,https://www.workatastartup.com/jobs/68653,"San Francisco, CA, US fulltime  Visa Required $120K - $175K 0.25% - 0.75% Any (new grads ok)"
Juicebox,San Francisco,https://www.workatastartup.com/companies/juicebox,juicebox.ai,"Ishan Gupta, David Paffenholz","For a long time, the recruiting tech industry has been a monopoly. But AI has created an opportunity to disrupt it.Juicebox is an AI-powered recruiting platform. We help recruiters identify the best talent across 800mm+ profiles using natural language. Business overview:300+ paying customersCustomers include Fortune 500, leading AI labs, and the largest recruiting agenciesRevenue is growing 20%+ month on monthCash-flow positive","Our current tech stack includes:Next.js + React in the frontendNode.js in the backendFirebase, OpenSearch, Kubernetes, and several AWS + GCP servicesFine-tuned open source + OpenAI LLM Models",Software Engineer,https://www.workatastartup.com/jobs/68648,"San Francisco, CA, US fulltime  Visa Required $100K - $160K 1.00% - 2.50% Any (new grads ok)"
Clarum,San Francisco,https://www.workatastartup.com/companies/clarum,clarum.ai,"Tommy He, Anton Otaner","Clarum helps private equity firms conduct faster, more reliable, and cost-efficient due diligence with AI. Using Clarum, firms can upload documents from their data rooms to extract information, identify red flags and answer due diligence questionnaires.We will be the platform that structures billions of data points changing how the private capital markets operate. Joining us will not only be fun but will have real impact on the future financial transactions.","Next.js 14 (App router with SSR)ReactTailwindPython FastAPIPostgresGCPNixWe use LLMs for analyzing large amounts of text. We place a heavy emphasis on interpretability and the best UX for auditable and transparent results due to the nature of the financial industry. Due to industry requirements, we also are large proponents in open source and creative solutions for on-prem deployments.",Founding Frontend Engineer,https://www.workatastartup.com/jobs/68634,"San Francisco, CA, US fulltime  Visa Required $120K - $170K 0.50% - 2.00% Any (new grads ok)"
Prelim,San Francisco,https://www.workatastartup.com/companies/prelim,prelim.com,"Chris Blaser, Heang Chan","At Prelim, we are on a mission to revolutionize the way financial institutions onboard new customers. We believe that the customer onboarding process should be fast, efficient, and user-friendly. As a member of our team, you will have the opportunity to work with cutting-edge technology and make a real impact on the financial industry.Our no-code platform allows banks and financial institutions to digitalize their services, streamline account opening processes, and improve customer experience. By joining our team, you will be a part of a fast-paced, innovative, and dynamic work environment where you can learn and grow your skills.Our team is made up of a diverse group of individuals with a wide range of experience and expertise. We value collaboration, creativity, and a passion for problem-solving. As a member of our team, you will have the opportunity to work with experts in the field, and be challenged to think outside the box.In addition, we offer a comprehensive benefits package, flexible working hours, and a great work-life balance. We are constantly evolving and growing, and we are looking for talented individuals who share our vision and are excited to be a part of our journey. If you're passionate about fintech and want to be a part of a team that is making a real impact in the industry, then Prelim is the place for you.","We primarily use React, Node.js, and Postgres.","Software Engineer, Implementations",https://www.workatastartup.com/jobs/68522,US / Remote (US) fulltime  Visa Required $100K - $120K Any (new grads ok)
Subsets,"Copenhagen, Denmark",https://www.workatastartup.com/companies/subsets,subsets.com,"Oliver Brandt, Martin Johnsen, Nikolai Skelbo","Subsets is an AI-driven retention automation platform for subscription media businesses.We help leading subscription media businesses like The Athletic (part of the New York Times), Daily Mail, and Børsen increase subscriber retention through sophisticated, AI-driven experimentation. By analyzing subscriber behavior, Subsets automatically generates audiences and measures the incremental revenue lift in lifetime value within a no-code platform designed for retention and growth teams.Based in Copenhagen, we are a lean team that is growing quickly. We are backed by leading investors across the US and Europe, such as Y Combinator, Upfin, and a range of business angels.",,"Data Engineer (in-person Copenhagen, Denmark)",https://www.workatastartup.com/jobs/68503,DK fulltime $80K - $120K 0.50% - 1.50% Any (new grads ok)
Reflex,San Francisco,https://www.workatastartup.com/companies/reflex,reflex.dev,"Alek Petuskey, Nikhil Rao","Reflex is an open-source framework to build web apps in pure Python and deploy them with a single command. This can be anything from a small data science/internal app to a large multi-page web app. We launched in December and have seen rapid adoption of our open-source framework, with over 80,000 apps made to date. In parallel with improving our open-source framework, we are now working on a hosting service so users can quickly deploy and scale their apps. We have raised 5M in seed funding in August led by Lux Capital with some fantastic founders as angel investors.Introduction:https://reflex.dev/docs/getting-started/introduction/ Github: https://github.com/reflex-dev/reflexFunding Blog Post: https://reflex.dev/blog/2023-08-02-seed-annoucement/",,Software Engineer - Open Source,https://www.workatastartup.com/jobs/68470,"San Francisco, CA, US fulltime $125K - $190K 0.30% - 0.60% Any (new grads ok)"
Voltic,San Francisco,https://www.workatastartup.com/companies/voltic,volticshipping.com,"Jared Boisvert, Prosser Cathey","Voltic is reducing greenhouse gas emissions in the shipping industry by retrofitting diesel ships to be electric. Electric cargo ships have the potential to eliminate 2.2% of global CO2 production, while simultaneously cutting shipping costs by 50-75% depending on route. We are making a boat that is both greener and cheaper. We've closed our first customer, who will pay us to ship containers for them. In addition to YC, we've also received funding from the Department of Energy and support from professors in MIT's Ocean Engineering Department.","Our work covers naval architecture, ocean engineering, mechanical engineering, electrical engineering, solar installations, and battery systems. We routinely use software like Ansys and Fusion for CAD, CFD, FEAs.",Founding Ocean Engineer,https://www.workatastartup.com/jobs/68430,Remote (US) fulltime  Visa Required $50K - $200K 7.00% Any (new grads ok)
ProhostAI,San Francisco,https://www.workatastartup.com/companies/prohostai,prohost.ai,"Andrew Lawson, Bill Ulammandakh",We are a YC S24 company on a mission to make every Airbnb host a 5-star host by automating and improving their operations with the help of AI. We are building an AI-powered operating system for hosts on Airbnb and other short-term rental platforms. Our founding team consists of highly experienced technical leaders from Airbnb and Dropbox. We are looking to expand our small but mighty team.,,"Founding Engineer, Full Stack",https://www.workatastartup.com/jobs/68411,"San Francisco, CA, US fulltime $100K - $200K 0.10% - 1.00% Any (new grads ok)"
Tensorfuse, 2 people,https://www.workatastartup.com/companies/tensorfuse,tensorfuse.io,"Agam Jain, Samagra Sharma","Tensorfuse makes it easy to deploy and auto-scale AI models on your own infra using the CLI. It’s like using Modal/Replicate/Together with your cloud credits.Tensorfuse automatically scales in response to the amount of traffic your app receives. Fast cold boots with our optimized container system. Describe container images and hardware specifications in simple Python. No YAML.Behind the scenes, we manage K8s + Ray clusters, enabling you to scale without LLMOps overhead.",,Systems / Infrastructure Engineer,https://www.workatastartup.com/jobs/68372,"Bengaluru, KA, IN fulltime ₹2M - ₹5M INR 0.40% - 3.00% Any (new grads ok)"
Enerjazz,"Delhi, India",https://www.workatastartup.com/companies/enerjazz,enerjazz.tech,"Ravi Bharihoke, Pratik Ranjan Das",Enerjazz is building battery swapping network (like gasoline stations) for 2M+ electric vehicles in India.,Patent pending battery tech developed inhouse.,Production Manager Trainee,https://www.workatastartup.com/jobs/68370,"Noida, UP, IN fulltime ₹20K - ₹30K INR Any (new grads ok)"
K-Scale Labs,Palo Alto,https://www.workatastartup.com/companies/k-scale-labs,kscale.dev,"Benjamin Bolte, Pawel Budzianowski, Matthew Freed",We're building friendly open-source humanoid robots.,"Our tech stack is PyTorch, some 3D printers and thinking really hard.",Full Stack Web Developer,https://www.workatastartup.com/jobs/68262,"Palo Alto, CA, US fulltime  Visa Required $100K - $200K 0.10% - 0.50% Any (new grads ok)"
Findly,"London, United Kingdom",https://www.workatastartup.com/companies/findly,findly.ai,"Jonathan Aeschlimann, Lourenço Maciel, Pedro Nascimento","Findly.ai - Co-pilot for Business Intelligence 📊💯Findly.ai is the co-pilot for Business Intelligence that revolutionizes how businesses understand and interact with their data. By creating an engaging chat environment, it empowers decision-makers to gain insights, request reports, and generate visualizations based on their company's metrics. This seamless interaction is made possible by integrating a metric layer that comprehends all your company's metrics. The chat-based exploration simplifies complex data analysis, allowing users to generate comprehensive summaries with a single click, which can be exported to various formats. Furthermore, with the introduction of scheduled chats and action-triggered automations, Findly.ai enhances the autonomy and efficiency of decision-makers. It's more than a tool; it's a decision-making operational system aiming to facilitate decision-makers in achieving their KPIs while spending less time waiting for data.","Languages: Python, Typescript and Rust Tech: ML, React, LLM, distributed systems",Senior Machine Learning Engineer,https://www.workatastartup.com/jobs/68098,BR / Remote (BR) fulltime  Visa Required $20K - $60K 0.10% - 3.00% Any (new grads ok)
Swipe,"Hyderabad, India",https://www.workatastartup.com/companies/swipe-2,getswipe.in,"Sri Teja Allaparthi, Aditya Vemuganti","Swipe is a Simple billing and payments for 75M+ Indian SMBs. We make it easy for local businesses to invoice their customers over WhatsApp. With Swipe, businesses can send a WhatsApp message with a link that allows their customers to pay instantly with a variety of payment methods. Since our inception in January 2021, we have been backed by YCombinator and top-tier VCs and Angel Investors from Silicon Valley and India. We are growing super fast and excited about having more people join us on this journey.",,Software Engineer - Full Stack (React),https://www.workatastartup.com/jobs/68079,Remote fulltime  Visa Required ₹700K - ₹1.2M INR Any (new grads ok)
